treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0,SMD_kept
seller_N_total_value_high,`time_n-1_sale_str_2021-09`,binary,7323,,,7170,153,0.801621746414341,-0.236153276094297,-1.03777502250864,-0.0114310031591915
seller_N_total_value_high,`time_n-1_sale_str_2021-10`,binary,7323,,,7204,119,0.777775059329324,0.910965908739059,0.133190849409735,-0.048986054070365
seller_N_total_value_high,`time_n-1_sale_str_2021-11`,binary,7323,,,7152,171,0.792583025643507,0.251126731848182,-0.541456293795324,-0.0487220623493348
seller_N_total_value_high,`time_n-1_sale_str_2021-12`,binary,7323,,,7217,106,0.786497094502754,0.333461693603979,-0.453035400898776,-0.0238561512850586
seller_N_total_value_high,`time_n-1_sale_str_2022-01`,binary,7323,,,7103,220,0.805525040193693,-0.0461267724881991,-0.851651812681893,0.00946668724795854
seller_N_total_value_high,`time_n-1_sale_str_2022-02`,binary,7323,,,7257,66,0.77512404367585,1.30941341807211,0.53428937439626,-0.0269549274657684
seller_N_total_value_high,`time_n-1_sale_str_2022-03`,binary,7323,,,7180,143,0.787082234829206,0.421300870452449,-0.365781364376757,0.00263778218745233
seller_N_total_value_high,`time_n-1_sale_str_2022-04`,binary,7323,,,7213,110,0.784423368295331,0.485915591219828,-0.298507777075503,-0.0136893655834689
seller_N_total_value_high,`time_n-1_sale_str_2022-05`,binary,7323,,,7206,117,0.786858547610931,0.353792961231023,-0.433065586379908,0.0423445060192094
seller_N_total_value_high,`time_n-1_sale_str_2022-06`,binary,7323,,,7216,107,0.770612481000271,1.40894212757426,0.638329646573985,0.00623862467328831
seller_N_total_value_high,`time_n-1_sale_str_2022-07`,binary,7323,,,7255,68,0.782512168835664,0.505451259494945,-0.277060909340719,0.0310556861658172
seller_N_total_value_high,`time_n-1_sale_str_2022-08`,binary,7323,,,7248,75,0.773000095495165,1.45055704532587,0.677556949830704,0.00113906469902485
seller_N_total_value_high,`time_n-1_sale_str_2022-09`,binary,7323,,,7279,44,0.773059508062435,1.91809798549858,1.14503847743615,0.0112610028116812
seller_N_total_value_high,`time_n-1_sale_str_2022-10`,binary,7323,,,7290,33,0.775021225486512,1.86641626520382,1.09139503971731,0.0460974932329947
seller_N_total_value_high,`time_n-1_sale_str_2022-11`,binary,7323,,,7221,102,0.78545997696641,0.389117420332897,-0.396342556633513,0.122959890457594
seller_N_total_value_high,`time_n-1_sale_str_2022-12`,binary,7323,,,7235,88,0.779104720178087,0.848566137044795,0.0694614168667078,0.0558395630671759
seller_N_total_value_high,`time_n-1_sale_str_2023-01`,binary,7323,,,7243,80,0.78363283793639,0.44554781718906,-0.33808502074733,0.0828216289833237
