treatment,covariate,type,n,cor,slope_catepct_per_unit,n0,n1,mean0,mean1,diff1minus0
seller_N_total_value_high,`Eyes_recoded_Wide Eyed`,binary,3196,,,3012,184,-12.8775103598426,-13.2847933193553,-0.407282959512742
seller_N_total_value_high,`Eyes_recoded_X Eyes`,binary,3196,,,3115,81,-12.9298895944268,-11.7883591107125,1.14153048371431
seller_N_total_value_high,Eyes_recoded_Zombie,binary,3196,,,3093,103,-12.9106946011568,-12.6085900313521,0.302104569804762
seller_N_total_value_high,Fur_recoded_Blue,binary,3196,,,3048,148,-12.900133005477,-12.9179579318481,-0.0178249263711301
seller_N_total_value_high,Fur_recoded_Brown,binary,3196,,,2771,425,-12.8917423436232,-12.9610473892409,-0.0693050456176696
seller_N_total_value_high,Fur_recoded_Cheetah,binary,3196,,,3079,117,-12.9032716252117,-12.8400841075266,0.0631875176850318
seller_N_total_value_high,Fur_recoded_Cream,binary,3196,,,2995,201,-12.9177416536174,-12.6508802090701,0.266861444547331
seller_N_total_value_high,`Fur_recoded_Dark Brown`,binary,3196,,,2751,445,-12.9024106409926,-12.8919809016554,0.0104297393372192
seller_N_total_value_high,`Fur_recoded_Death Bot`,binary,3196,,,3136,60,-12.9144581602524,-12.1953730675973,0.719085092655094
seller_N_total_value_high,Fur_recoded_Dmt,binary,3196,,,3138,58,-12.9079936653887,-12.5203284934082,0.387665171980519
seller_N_total_value_high,`Fur_recoded_Golden Brown`,binary,3196,,,2924,272,-12.9008008761368,-12.9026522528801,-0.00185137674334079
seller_N_total_value_high,Fur_recoded_Gray,binary,3196,,,3034,162,-12.8917673534433,-13.0730927423483,-0.181325388904995
seller_N_total_value_high,Fur_recoded_Noise,binary,3196,,,3141,55,-12.9029026048855,-12.7899289574875,0.11297364739808
seller_N_total_value_high,Fur_recoded_Other_Fur,binary,3196,,,3167,29,-12.9113207181937,-11.7693262099277,1.14199450826598
