bin,n,mean_cate_pct,sd_cate_pct,treatment,covariate
"(0.0173,0.0251]",633,-42.1150781167001,6.83944885949699,seller_N_1_total_value_high,log_buyern_1_avg_gasLimit_cost
"[0.0021,0.00469]",634,-38.3892094150783,6.49873940238202,seller_N_1_total_value_high,log_buyern_1_avg_gasLimit_cost
"(0.00786,0.0117]",627,-44.312945345993,6.55106717897126,seller_N_1_total_value_high,log_buyern_1_avg_gasLimit_cost
"(0.00469,0.00786]",639,-41.2506921946073,6.9452982289834,seller_N_1_total_value_high,log_buyern_1_avg_gasLimit_cost
"(0.00561,0.00886]",633,-43.4449441831766,6.5701233913686,seller_N_1_total_value_high,log_sellern_avg_gasLimit_cost
"[0.0018,0.00347]",636,-40.248005006334,6.89482784712781,seller_N_1_total_value_high,log_sellern_avg_gasLimit_cost
"(0.0157,0.0211]",633,-40.6865258142114,7.01704476730471,seller_N_1_total_value_high,log_sellern_avg_gasLimit_cost
"(0.00347,0.00561]",631,-41.6045291019219,7.06012646400742,seller_N_1_total_value_high,log_sellern_avg_gasLimit_cost
"(0.00886,0.0157]",633,-44.0331402200295,6.53487139305793,seller_N_1_total_value_high,log_sellern_avg_gasLimit_cost
"(0.0135,0.0211]",902,-42.5176863312156,6.07917602539326,seller_N_1_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.0211,0.0293]",364,-45.5456411275143,6.17564427308999,seller_N_1_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.00937,0.0135]",633,-43.3712919920729,6.93084598114677,seller_N_1_total_value_high,log_sellern_1_avg_gasLimit_cost
"[0.00244,0.00502]",635,-39.2599730242113,7.76217791848575,seller_N_1_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.00502,0.00937]",632,-40.6087186272761,6.46346557114066,seller_N_1_total_value_high,log_sellern_1_avg_gasLimit_cost
"(0.815,4.36]",633,-41.1929926386203,5.9804267412329,seller_N_1_total_value_high,`log_price_change_n-1`
"(-0.0209,0]",724,-45.3024674289434,6.66411398244556,seller_N_1_total_value_high,`log_price_change_n-1`
"[-4.23,-0.0209]",634,-38.5680992989016,6.57673727066559,seller_N_1_total_value_high,`log_price_change_n-1`
"(0.108,0.815]",633,-42.3463212391182,6.58389990254457,seller_N_1_total_value_high,`log_price_change_n-1`
"(0,0.108]",542,-42.1528418012904,7.28459771058718,seller_N_1_total_value_high,`log_price_change_n-1`
"(1.78,4.06]",729,6.07255163098285,3.23206083291647,buyer_N_total_value_high,log_price_1_sale
"(0.432,0.833]",728,5.20475629007679,3.29199583070449,buyer_N_total_value_high,log_price_1_sale
"(0.833,1.78]",725,6.17620188254476,3.34175275352217,buyer_N_total_value_high,log_price_1_sale
"(0.278,0.432]",728,3.80505171408488,3.09610869443768,buyer_N_total_value_high,log_price_1_sale
"[0.14,0.278]",736,2.63061417047299,2.87014614680004,buyer_N_total_value_high,log_price_1_sale
