treatment,covariate,method,n_obs,coef_log,se_log,z_or_t,p_value,ci_lo_log,ci_hi_log,coef_pct,ci_lo_pct,ci_hi_pct,r2_tau,r2_tau_oos
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2024-12`,grf_blp_single,2730,0.231442392554696,0.147242881656847,1.57184096066578,0.115987439471463,-0.0571536554927237,0.520038440602116,26.0416715099176,-5.55510615502622,68.2092309097282,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2025-01`,grf_blp_single,2730,0.665468338615914,0.223002118683501,2.98413460170031,0.00284381639651923,0.228384185996252,1.10255249123558,94.5401414622853,25.6567988534739,201.184392611317,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2025-02`,grf_blp_single,2730,-0.266891010423953,0.394867129689807,-0.675900803983389,0.499103627249874,-1.04083058461597,0.507048563768068,-23.4243473603401,-64.6838770177214,66.0383440201601,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n_sale_str_2025-03`,grf_blp_single,2730,0.709013556054679,0.41638403476108,1.70278756355658,0.0886078310482217,-0.107099152077037,1.52512626418639,103.198582956913,-10.1563413279826,359.572380800175,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2021-06`,grf_blp_single,2730,-0.264785536018374,0.123333760984122,-2.14690230724791,0.0318010599043877,-0.506519707547254,-0.0230513644894944,-23.2629494336382,-39.7410880002249,-2.2787711526165,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2021-07`,grf_blp_single,2730,-0.369100322993579,0.179822756166843,-2.05257849930362,0.0401134745700918,-0.72155292508059,-0.0166477209065672,-30.8643951937325,-51.4003047209935,-1.65099133876482,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2021-08`,grf_blp_single,2730,0.0788777671818883,0.112797262770274,0.699287954731072,0.484372093119658,-0.142204867847849,0.299960402211626,8.20720492704585,-13.2556473007499,34.980535721087,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2021-09`,grf_blp_single,2730,-0.0606631785528159,0.185386459325243,-0.327225509207164,0.743497328434448,-0.424020638830292,0.30269428172466,-5.88598174052514,-34.55896244952,35.3500611311717,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2021-10`,grf_blp_single,2730,0.25927980872306,0.179282287499216,1.44620984225334,0.148118353983043,-0.0921134747754041,0.610673092221524,29.599638519274,-8.79983455097491,84.1670595840572,0.800861714312945,0.837497144831612
buyer_N_1_Tvalue_Gaspaid_11vs00,`time_n-1_sale_str_2021-11`,grf_blp_single,2730,0.278052167081805,0.252670908234538,1.10045184475178,0.271135300090897,-0.217182813057889,0.773287147221498,32.0555084917387,-19.5217168954266,116.687740472196,0.800861714312945,0.837497144831612
