condition,nuisance_spec,treatment,treatment_var,split_rule,cutoff_raw,share_high,ATE_log,SE_log,ATE_pct,CI95_lo_pct,CI95_hi_pct,p_value,kept_pct,alpha,n_kept,calib_intercept,calib_slope,calib_p_slope,r2_tau,r2_tau_oos
samp,BASE_M2V11,buyer_N_gaslimit_cost_high,log_buyern_avg_gasLimit_cost,median,0.00998400187183293,0.5,0.188489181098958,0.0278695410725775,20.7424019914964,14.3238335526262,27.5213329158101,1.349131452966e-11,100,0.1,4206,,,,0.800744820343791,0.917901373508367
samp,TEMPORAL_AUG_M2V11,seller_N_total_value_high,log_sellern_total_value,median,1762.46958490957,0.5,-0.128831839531044,0.0278961451167738,-12.0878213351686,-16.7655019403125,-7.14726059794243,3.86958612129476e-06,100,0.1,4206,,,,0.761826168675186,0.808251728635716
samp,TEMPORAL_AUG_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,1306.24452976845,0.5,-0.195070470310659,0.0282433842099779,-17.7223325314879,-22.153208572552,-13.0392603223958,4.95823746707417e-12,98.7636709462672,0.1,4154,,,,0.80574217110729,0.885426270584851
samp,TEMPORAL_AUG_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,799.667736908218,0.5,0.0157241010437613,0.0260766916408929,1.58483752328074,-3.47674426189692,6.91184353158609,0.546512363230758,100,0.1,4206,,,,0.808811183508948,0.833840529789022
samp,TEMPORAL_AUG_M2V11,seller_N_gaspaid_high,log_sellern_avg_total_gaspaid,median,6.7019714396823,0.5,0.193919264976581,0.0301123920244004,21.3998266821116,14.4421165204173,28.7805430950535,1.19592229549284e-10,100,0.1,4206,,,,0.819749598740322,0.904093618030945
samp,TEMPORAL_AUG_M2V11,seller_N_1_gaspaid_high,log_sellern_1_avg_total_gaspaid,median,8.47635829037632,0.500475511174513,0.216557538416683,0.0309095239968057,24.1794534189625,16.8796832472829,31.9351338316599,2.44921308230575e-12,97.3609129814551,0.1,4095,,,,0.818104841335446,0.904415695177439
samp,TEMPORAL_AUG_M2V11,buyer_N_gaspaid_high,log_buyern_avg_total_gaspaid,median,3.26250570589215,0.5,-0.0534355499317975,0.0265479332173566,-5.20329644248961,-10.0098079697366,-0.140061904208433,0.0441361894819848,100,0.1,4206,,,,0.660869751551624,0.733682731210513
samp,TEMPORAL_AUG_M2V11,seller_N_gaslimit_cost_high,log_sellern_avg_gasLimit_cost,median,0.0103419376233987,0.5,0.0607060590456682,0.0276263866007209,6.2586530579418,0.657989432018691,12.1709405621853,0.0279923119666548,98.906324298621,0.1,4160,,,,0.730594878265631,0.763887811083445
samp,TEMPORAL_AUG_M2V11,seller_N_1_gaslimit_cost_high,log_sellern_1_avg_gasLimit_cost,median,0.0111078712655934,0.5,0.0248148136425256,0.0270076221096434,2.51252637319819,-2.77284350089834,8.08521447927721,0.358196116021736,99.6433666191156,0.1,4191,,,,0.71279218988582,0.73368736473146
samp,TEMPORAL_AUG_M2V11,buyer_N_gaslimit_cost_high,log_buyern_avg_gasLimit_cost,median,0.00998400187183293,0.5,0.165997811775406,0.0247179729716723,18.0570518367006,12.4738523122809,23.9174012611961,1.87200797392434e-11,100,0.1,4206,,,,0.760388978513998,0.837569974914812
diffp,BASE_M2V11,seller_N_total_value_high,log_sellern_total_value,median,2090.23794627941,0.5,-0.150623253113067,0.0481230799759646,-13.98282953668,-21.7252012518373,-5.47463892790234,0.00174830877872665,82.5013713658804,0.1,3008,,,,0.723635944015874,0.727876800361444
diffp,BASE_M2V11,seller_N_1_total_value_high,log_sellern_1_total_value,median,2255.0931438792,0.5,-0.57983172700763,0.0468779820761332,-44.0007409733603,-48.9167009965437,-38.6116975076235,3.8478719245181e-35,81.4591332967636,0.1,2970,,,,0.750134279922515,0.765794024061812
diffp,BASE_M2V11,buyer_N_total_value_high,log_buyern_total_value,median,2227.28783343222,0.501097092704334,0.0415615155855684,0.0426908494599959,4.24372860192033,-4.1238133530884,13.3415432223061,0.330281894935014,98.1897970378497,0.1,3580,,,,0.723992331014457,0.742843168767884
diffp,BASE_M2V11,seller_N_gaspaid_high,log_sellern_avg_total_gaspaid,median,3.91283573237692,0.501919912232584,0.0592664603472859,0.0527683489344432,6.10579329406573,-4.31986679214965,17.6674717426007,0.261376294504202,81.5414152495886,0.1,2973,,,,0.591300623343388,0.602508011686172
diffp,BASE_M2V11,seller_N_1_gaspaid_high,log_sellern_1_avg_total_gaspaid,median,14.6142502398712,0.5,0.598076649133723,0.0561742978662901,81.8617594720126,62.9014165350187,103.028925479886,1.80457576613007e-26,84.0647284695557,0.1,3065,,,,0.819496289888974,0.865759492465216
diffp,BASE_M2V11,buyer_N_gaspaid_high,log_buyern_avg_total_gaspaid,median,3.94503981852923,0.5,-0.163978971048232,0.0445889314756274,-15.1240129777086,-22.226799189957,-7.37255123903916,0.000235465344308549,95.0630828304992,0.1,3466,,,,0.73264100736409,0.739878356469325
diffp,BASE_M2V11,seller_N_gaslimit_cost_high,log_sellern_avg_gasLimit_cost,median,0.00835198924962315,0.500548546352167,0.34556947432043,0.048637647139476,41.2794240665956,28.4333216396261,55.4104138223164,1.20340607436054e-12,83.3241908941306,0.1,3038,,,,0.64929688752037,0.662735278913831
diffp,BASE_M2V11,seller_N_1_gaslimit_cost_high,log_sellern_1_avg_gasLimit_cost,median,0.0130669126323884,0.500274273176084,0.0456459861139059,0.0506148148281257,4.67037976806783,-5.21500320891365,15.5867359993606,0.367146890450414,83.0773450356555,0.1,3029,,,,0.564362383868041,0.600546523185338
diffp,BASE_M2V11,buyer_N_gaslimit_cost_high,log_buyern_avg_gasLimit_cost,median,0.00724335425814251,0.5,0.352510864981821,0.0407787180000654,42.2635112569296,31.3354534723208,54.1008623342967,5.40502678982146e-18,100,0.1,3646,,,,0.878746532655488,0.943675116873133
