K,stub,ATE_pct,CI_lower_pct,CI_upper_pct,kept_pct,n_kept,q_value_bh,combo,combo_short,rank_k,gates_dec,n,mean_pct,lo_pct,hi_pct
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,5,925,-6.57532916389468,-6.58584414626579,-6.56461718592653
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,6,925,-6.05126272394583,-6.05912130423891,-6.04219405632406
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,7,926,-5.55788315559867,-5.56760381301815,-5.54788793409716
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,8,925,-4.97674506546362,-4.98736837010861,-4.96518392432747
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,9,925,-4.18010343041478,-4.19776745687121,-4.16511212578278
2,Earring_No_Mouth_Bored,-6.25178920889989,-9.46683637065663,-2.92256810427025,100,9254,0.0028362019948967,Earring_No+Mouth_Bored,Ear:No+Mouth:Bored,4,10,926,-2.73538148723813,-2.78044729692953,-2.68506046313224
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,1,834,-11.0492396710285,-11.055528365347,-11.0440957622175
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,2,833,-10.9208609773772,-10.9223265397795,-10.9194201994947
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,3,833,-10.8559074568395,-10.8570116132624,-10.8546698547364
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,4,833,-10.8030703256266,-10.8040446822498,-10.8020665323122
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,5,833,-10.7588356892523,-10.7597279522245,-10.7580382663515
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,6,833,-10.7161871927504,-10.7169821291448,-10.7154056134814
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,7,833,-10.6753641973443,-10.676118592187,-10.674496198152
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,8,833,-10.6304163393202,-10.631378975251,-10.6294940065332
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,9,833,-10.5744275261973,-10.575636078476,-10.573152784067
2,Fur_Black_Mouth_Bored,-10.6113635763851,-16.2630530115951,-4.57822252846602,90.0259347309272,8331,0.00653628536425561,Fur_Black+Mouth_Bored,Fur:Black+Mouth:Bored,5,10,833,-10.4661191465454,-10.4703420282514,-10.4618679200798
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,1,926,-19.4331169094136,-19.4391808467834,-19.4272964088947
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,2,925,-19.310036848294,-19.311413601088,-19.3085277947376
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,3,925,-19.2482048508439,-19.2492358274016,-19.2472554912254
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,4,926,-19.1990361705108,-19.1998193280068,-19.1982013974471
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,5,925,-19.1570860313704,-19.1579514982452,-19.156340788187
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,6,925,-19.1151074845617,-19.1158906278837,-19.1143500548036
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,7,926,-19.0716364000857,-19.0725361130884,-19.070829656575
3,Background_Aquamarine_Earring_No_Fur_Black,-19.2139681956665,-26.0340957360604,-11.7649814514256,100,9254,4.03113866220828e-05,Background_Aquamarine+Earring_No+Fur_Black,BG:Aquamarine+Ear:No+Fur:Black,1,8,925,-19.0263336085148,-19.0270914915697,-19.0254871163816
